company_id,year,type,flag
ADANIENSOL,2015-03,high_de,D/E=8.95752539242844
ADANIENSOL,2016-03,high_de,D/E=3.2129491017964074
ADANIENSOL,2017-03,high_de,D/E=3.045469969460468
ADANIENSOL,2019-03,high_de,D/E=2.50366778565212
ADANIENSOL,2020-03,high_de,D/E=2.8528062124955875
ADANIENSOL,2021-03,high_de,D/E=3.0378966251821953
ADANIENSOL,2022-03,high_de,D/E=3.016443054574801
ADANIENSOL,2023-03,high_de,D/E=2.916843986722274
ADANIENSOL,2024-03,high_de,D/E=2.93252116130053
ADANIENT,2013-03,high_de,D/E=3.240418769863526
ADANIENT,2014-03,high_de,D/E=3.0298438355011155
ADANIENT,2015-03,high_de,D/E=3.248250932835821
ADANIGREEN,2017-03,pat_cagr_5yr,TURNAROUND
ADANIGREEN,2017-03,high_de,D/E=3.6134663341645887
ADANIGREEN,2018-03,pat_cagr_5yr,TURNAROUND
ADANIGREEN,2018-03,high_de,D/E=7.355704697986577
ADANIGREEN,2019-03,pat_cagr_5yr,TURNAROUND
ADANIGREEN,2019-03,high_de,D/E=5.764097258147957
ADANIGREEN,2020-03,pat_cagr_5yr,TURNAROUND
ADANIGREEN,2020-03,high_de,D/E=6.307170131523122
ADANIGREEN,2021-03,pat_cagr_5yr,TURNAROUND
ADANIGREEN,2021-03,high_de,D/E=11.004090909090909
ADANIGREEN,2022-03,pat_cagr_5yr,TURNAROUND
ADANIGREEN,2022-03,high_de,D/E=20.211170619739864
ADANIGREEN,2023-03,pat_cagr_5yr,TURNAROUND
ADANIGREEN,2023-03,high_de,D/E=7.423740416210296
ADANIGREEN,2024-03,pat_cagr_5yr,TURNAROUND
ADANIGREEN,2024-03,high_de,D/E=6.595281675818589
ADANIPOWER,2013-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2013-03,high_de,D/E=9.735616119263918
ADANIPOWER,2014-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2014-03,high_de,D/E=6.747669264863212
ADANIPOWER,2015-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2015-03,high_de,D/E=7.815196506550218
ADANIPOWER,2016-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2016-03,high_de,D/E=7.06065881092662
ADANIPOWER,2017-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2017-03,high_de,D/E=17.494666666666667
ADANIPOWER,2018-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2018-03,high_de,D/E=59.43194600674916
ADANIPOWER,2019-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2019-03,high_de,D/E=6.091804979253112
ADANIPOWER,2020-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2020-03,high_de,D/E=8.517049837987965
ADANIPOWER,2021-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2021-03,high_de,D/E=4.005109433386716
ADANIPOWER,2022-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2022-03,high_de,D/E=2.662675407704394
ADANIPOWER,2023-03,pat_cagr_5yr,TURNAROUND
ADANIPOWER,2024-03,pat_cagr_5yr,TURNAROUND
BEL,2013-03,high_de,D/E=4.0
BEL,2014-03,high_de,D/E=3.0
BEL,2015-03,high_de,D/E=3.7142857142857144
BEL,2016-03,high_de,D/E=2.0833333333333335
BHARTIARTL,2015-03,high_de,D/E=2.097066143751414
BHARTIARTL,2021-03,high_de,D/E=2.7612674503417978
BHARTIARTL,2022-03,high_de,D/E=2.5494786188658836
BHARTIARTL,2023-03,high_de,D/E=2.914018281912768
BHARTIARTL,2024-03,high_de,D/E=2.6094723973904306
GODREJCP,2013-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2014-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2015-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2016-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2017-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2018-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2019-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2020-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2021-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2022-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2023-03,pat_cagr_5yr,DECLINE_TO_LOSS
GODREJCP,2024-03,pat_cagr_5yr,DECLINE_TO_LOSS
INDIGO,2013-03,high_de,D/E=2.5
INDIGO,2014-03,high_de,D/E=3.1818181818181817
JINDALSTEL,2013-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2014-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2015-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2015-03,high_de,D/E=2.162389506700884
JINDALSTEL,2016-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2017-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2018-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2019-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2020-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2021-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2022-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2023-03,pat_cagr_5yr,TURNAROUND
JINDALSTEL,2024-03,pat_cagr_5yr,TURNAROUND
JIOFIN,2023-03,revenue_cagr_5yr,INSUFFICIENT
JIOFIN,2023-03,pat_cagr_5yr,INSUFFICIENT
JIOFIN,2024-03,revenue_cagr_5yr,INSUFFICIENT
JIOFIN,2024-03,pat_cagr_5yr,INSUFFICIENT
JSWSTEEL,2016-03,high_de,D/E=2.225245175577349
LODHA,2011-03,high_de,D/E=7.521505376344086
LODHA,2012-03,high_de,D/E=3.782415630550622
LODHA,2015-03,high_de,D/E=3.5980570734669097
LODHA,2016-03,high_de,D/E=3.4822552227535866
LODHA,2017-03,high_de,D/E=4.012645673196132
LODHA,2018-03,high_de,D/E=4.3897515527950315
LODHA,2019-03,high_de,D/E=6.675605311116897
LODHA,2020-03,high_de,D/E=4.047231985940246
LODHA,2021-03,high_de,D/E=3.9558599695586
M&M,2020-03,high_de,D/E=2.053891766118742
MOTHERSON,2013-03,high_de,D/E=2.142420270860638
PNB,2013-03,pat_cagr_5yr,TURNAROUND
PNB,2014-03,pat_cagr_5yr,TURNAROUND
PNB,2015-03,pat_cagr_5yr,TURNAROUND
PNB,2016-03,pat_cagr_5yr,TURNAROUND
PNB,2017-03,pat_cagr_5yr,TURNAROUND
PNB,2018-03,pat_cagr_5yr,TURNAROUND
PNB,2019-03,pat_cagr_5yr,TURNAROUND
PNB,2020-03,pat_cagr_5yr,TURNAROUND
PNB,2021-03,pat_cagr_5yr,TURNAROUND
PNB,2022-03,pat_cagr_5yr,TURNAROUND
PNB,2023-03,pat_cagr_5yr,TURNAROUND
PNB,2024-03,pat_cagr_5yr,TURNAROUND
POWERGRID,2013-03,high_de,D/E=2.6221641480134834
POWERGRID,2014-03,high_de,D/E=2.427229235114416
POWERGRID,2015-03,high_de,D/E=2.503785218137829
POWERGRID,2016-03,high_de,D/E=2.468614964748692
POWERGRID,2017-03,high_de,D/E=2.386154895118919
POWERGRID,2018-03,high_de,D/E=2.416179767023114
POWERGRID,2019-03,high_de,D/E=2.477212340706392
POWERGRID,2020-03,high_de,D/E=2.2917954742178805
POWERGRID,2021-03,high_de,D/E=2.0480439258750858
TATAMOTORS,2013-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2014-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2015-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2016-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2017-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2018-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2019-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2020-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2021-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2021-03,high_de,D/E=2.5726464785418215
TATAMOTORS,2022-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2022-03,high_de,D/E=3.2864836965059134
TATAMOTORS,2023-03,pat_cagr_5yr,TURNAROUND
TATAMOTORS,2023-03,high_de,D/E=2.9591147786946737
TATAMOTORS,2024-03,pat_cagr_5yr,TURNAROUND
TATAPOWER,2013-03,high_de,D/E=3.0710985002026754
TATAPOWER,2014-03,high_de,D/E=3.2394968147730023
TATAPOWER,2015-03,high_de,D/E=2.836080458164548
TATAPOWER,2016-03,high_de,D/E=3.3395512765408752
TATAPOWER,2017-03,high_de,D/E=3.694187982442864
TATAPOWER,2018-03,high_de,D/E=2.962924568571254
TATAPOWER,2019-03,high_de,D/E=2.649877082764272
TATAPOWER,2020-03,high_de,D/E=2.6544004906470406
TATAPOWER,2021-03,high_de,D/E=2.092371097074766
TATAPOWER,2022-03,high_de,D/E=2.281213795561893
TATASTEEL,2013-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2013-03,high_de,D/E=2.0054137890670725
TATASTEEL,2014-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2014-03,high_de,D/E=2.0139396032764236
TATASTEEL,2015-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2015-03,high_de,D/E=2.574276691441513
TATASTEEL,2016-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2017-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2017-03,high_de,D/E=2.195034242047648
TATASTEEL,2018-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2019-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2020-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2021-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2022-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2023-03,pat_cagr_5yr,DECLINE_TO_LOSS
TATASTEEL,2024-03,pat_cagr_5yr,DECLINE_TO_LOSS
TVSMOTOR,2018-03,high_de,D/E=2.5870052277819267
TVSMOTOR,2019-03,high_de,D/E=2.9321980447808262
TVSMOTOR,2020-03,high_de,D/E=3.5306122448979593
TVSMOTOR,2021-03,high_de,D/E=3.182388293702639
TVSMOTOR,2022-03,high_de,D/E=3.5970454545454547
TVSMOTOR,2023-03,high_de,D/E=4.064668483197093
TVSMOTOR,2024-03,high_de,D/E=3.833431603773585
